"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ASHGV40000791",-1.02334548033333,4.92950349,-6.13214683711862,6.0646325484658e-05,0.00127003478599031,1.78971218957143
"ASHGV40046778",1.145952424,9.560250941,6.13039905391478,6.08022910541815e-05,0.00127242764378957,1.78704674114211
"ASHGV40008660",1.19804803616667,4.21095147458333,6.12733589680611,6.10766654812725e-05,0.00127705745632244,1.78237424701596
"ASHGV40023324",2.132339481,5.625781134,6.12722853898351,6.10863056339343e-05,0.00127705745632244,1.78221046095035
"ASHGV40016313",-1.133291465,3.5643835885,-6.12541954660449,6.12489869667598e-05,0.00128001992488341,1.77945040089838
"ASHGV40057195",1.65204610833333,6.1159954135,6.12398514704986,6.137830894786e-05,0.00128184460138063,1.77726154508006
"ASHGV40049511",1.3013858665,8.08424814958333,6.12297858464582,6.14692315347152e-05,0.0012833042713563,1.77572538385783
"ASHGV40028538",1.23478282183333,5.44432300275,6.12187017072163,6.15695200844993e-05,0.00128451910893555,1.77403361670906
"ASHGV40055826",1.612537183,3.64554642083333,6.11915097014941,6.18162893192236e-05,0.00128878621093826,1.76988257779278
"ASHGV40032124",-1.5122685015,5.13510157875,-6.11815582403383,6.19068621959421e-05,0.00128979322589456,1.76836316046558
"ASHGV40026171",1.748816659,5.99378100883333,6.11607472830201,6.20967288681183e-05,0.00129166373086371,1.76518523205946
"ASHGV40050718",-1.10213840866667,4.3060734445,-6.11601186009642,6.21024742126724e-05,0.00129166373086371,1.76508921990798
"ASHGV40016217",1.36871210166667,14.9360468625,6.11571395505153,6.2129706585009e-05,0.00129178985166732,1.76463425254374
"ASHGV40029194",-1.24774957916667,5.07924249308333,-6.11548039015246,6.21510663172444e-05,0.00129179382525324,1.76427753814219
"ASHGV40048026",1.82190639483333,4.85517073308333,6.10857687697824,6.27859386947255e-05,0.00130232804993437,1.75373059430301
"ASHGV40056440",1.75213509,7.8050404515,6.10012683912625,6.35724357362626e-05,0.00131640458716311,1.74081175437452
"ASHGV40057178",2.5388463275,11.09018351625,6.09759560502448,6.38100672680674e-05,0.00132042914376621,1.73693991223271
"ASHGV40052562",-1.03087606633333,6.34634820116667,-6.097115171873,6.38552767424259e-05,0.00132091674845078,1.73620492677278
"ASHGV40012534",-1.32944785316667,3.97080862308333,-6.09467587283576,6.4085344449937e-05,0.00132477779800574,1.73247268796565
"ASHGV40049866",2.1903063295,8.24218953258333,6.09351500320692,6.41951437333615e-05,0.00132659818868427,1.73069620896979
"ASHGV40014136",1.03258931633333,6.1381999365,6.09259227765001,6.42825611594957e-05,0.00132795498043232,1.72928402594452
"ASHGV40037872",-1.40542240783333,7.18481776591667,-6.09225119382308,6.43149068850399e-05,0.00132817356269126,1.72876198457218
"ASHGV40006624",2.42957133433333,5.21852644666667,6.08898017859175,6.46259846117579e-05,0.00133234327194186,1.72375473967143
